Date,Sector,Industry,CapGain
2023-01-03,Industrials,Engineering & Construction,-6450196.000000006
2023-01-03,Industrials,Farm & Heavy Construction Machinery,-13301734.499999998
2023-01-03,Industrials,Industrial Distribution,-3624140.999999989
2023-01-03,Industrials,Infrastructure Operations,507304.0000000021
2023-01-03,Industrials,Integrated Freight & Logistics,1593886.0000000189
2023-01-03,Industrials,Marine Shipping,-5061986.760000002
2023-01-03,Industrials,Metal Fabrication,-738818.0500000012
2023-01-03,Industrials,Pollution & Treatment Controls,-1039851.040000001
2023-01-03,Industrials,Railroads,-779543.3599999743
2023-01-03,Industrials,Rental & Leasing Services,-4596487.000000011
2023-01-03,Industrials,Security & Protection Services,-1299892.9999999984
2023-01-03,Industrials,Specialty Business Services,-4454283.199999977
2023-01-03,Industrials,Specialty Industrial Machinery,-8168737.68999994
2023-01-03,Industrials,Staffing & Employment Services,-7048476.43999999
2023-01-03,Industrials,Tools & Accessories,-1001461.9999999998
2023-01-03,Industrials,Trucking,-6148730.999999998
2023-01-03,Industrials,Waste Management,-3099119.9999999884
2023-01-03,Real Estate,REIT - Diversified,-6410570.839999988
2023-01-03,Real Estate,REIT - Healthcare Facilities,-109995.00000001187
2023-01-03,Real Estate,REIT - Hotel & Motel,-8713167.999999993
2023-01-03,Real Estate,REIT - Industrial,-20507955.99999997
2023-01-03,Real Estate,REIT - Mortgage,5040553.000000022
2023-01-03,Real Estate,REIT - Office,-8153743.9999999795
2023-01-03,Real Estate,REIT - Residential,-10313150.000000006
2023-01-03,Real Estate,REIT - Retail,-4966390.290000013
2023-01-03,Real Estate,REIT - Specialty,-1874814.9999999967
2023-01-03,Real Estate,Real Estate - Development,-170233.0000000002
2023-01-03,Real Estate,Real Estate - Diversified,-608581.0000000016
2023-01-03,Real Estate,Real Estate Services,2145140.1700000064
2023-01-03,Technology,Communication Equipment,-1651657.2000000658
2023-01-03,Technology,Computer Hardware,-8113010.880000006
2023-01-03,Technology,Consumer Electronics,-584942436.0000008
2023-01-03,Technology,Electronic Components,-6449757.599999971
2023-01-03,Technology,Electronics & Computer Distribution,1100991.0000000035
2023-01-03,Technology,Information Technology Services,8739289.700000092
2023-01-03,Technology,Scientific & Technical Instruments,-5482072.00000003
2023-01-03,Technology,Semiconductor Equipment & Materials,-67015356.999999925
2023-01-03,Technology,Semiconductors,-525932771.5999995
2023-01-03,Technology,Software - Application,-190681960.34999985
2023-01-03,Technology,Software - Infrastructure,-263297028.57999992
2023-01-03,Technology,Solar,-87037352.52
2023-01-03,Utilities,Utilities - Diversified,-4343474.000000031
2023-01-03,Utilities,Utilities - Independent Power Producers,-3854063.999999993
2023-01-03,Utilities,Utilities - Regulated Electric,-3916069.0000001024
2023-01-03,Utilities,Utilities - Regulated Gas,-10713946.0
2023-01-03,Utilities,Utilities - Regulated Water,56408.99999997837
2023-01-03,Utilities,Utilities - Renewable,-18464026.000000007
2023-01-03,bond,bond etf,-1181699234.5499997
2023-01-04,Basic Materials,Agricultural Inputs,10797675.11
2023-01-04,Basic Materials,Aluminum,1563714.9999999965
2023-01-04,Basic Materials,Building Materials,4455093.0
2023-01-04,Basic Materials,Chemicals,10318726.000000017
2023-01-04,Basic Materials,Coking Coal,3467376.000000015
2023-01-04,Basic Materials,Copper,13446994.0
2023-01-04,Basic Materials,Gold,60252076.89999996
2023-01-04,Basic Materials,Independent Oil & Gas,89550.00000000022
2023-01-04,Basic Materials,Lumber & Wood Production,896164.0000000021
2023-01-04,Basic Materials,Other Industrial Metals & Mining,19334471.510000035
2023-01-04,Basic Materials,Other Precious Metals & Mining,1260768.999999999
2023-01-04,Basic Materials,Paper & Paper Products,113086.99999999936
2023-01-04,Basic Materials,Silver,2740829.999999998
2023-01-04,Basic Materials,Specialty Chemicals,-1344228.4800001755
2023-01-04,Basic Materials,Steel,36328459.0
2023-01-04,Communication Services,Advertising Agencies,4009922.1500000055
2023-01-04,Communication Services,Broadcasting,843568.9999999955
2023-01-04,Communication Services,Electronic Gaming & Multimedia,19005248.49999997
2023-01-04,Communication Services,Internet Content & Information,-73791969.99999993
2023-01-04,Communication Services,Publishing,597134.9999999993
2023-01-04,Communication Services,Telecom Services,53541714.40000023
2023-01-04,Communication Services,bond etf,199270975.48000032
2023-01-04,Consumer Cyclical,Apparel Manufacturing,31681389.699999984
2023-01-04,Consumer Cyclical,Apparel Retail,19845838.00000005
